PRISM Time Series Data
Locations: 2
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2023-05-08 - 2023-08-27
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Aug-28
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
83,-122.7999,38.4036,113.0,2023-05-30,0.00,52.1,60.8
83,-122.7999,38.4036,113.0,2023-05-31,0.00,50.5,63.2
83,-122.7999,38.4036,113.0,2023-06-01,0.00,43.2,69.8
83,-122.7999,38.4036,113.0,2023-06-02,0.00,41.6,72.9
83,-122.7999,38.4036,113.0,2023-06-03,0.00,41.0,75.7
83,-122.7999,38.4036,113.0,2023-06-04,0.00,43.8,79.4
83,-122.7999,38.4036,113.0,2023-06-05,0.00,45.1,78.6
83,-122.7999,38.4036,113.0,2023-06-06,0.00,50.8,64.9
83,-122.7999,38.4036,113.0,2023-06-07,0.00,54.3,64.4
83,-122.7999,38.4036,113.0,2023-06-08,0.00,55.9,62.5
83,-122.7999,38.4036,113.0,2023-06-09,0.00,52.9,68.4
83,-122.7999,38.4036,113.0,2023-06-10,0.00,50.8,66.8
83,-122.7999,38.4036,113.0,2023-06-11,0.00,51.6,68.7
83,-122.7999,38.4036,113.0,2023-06-12,0.00,52.8,67.5
83,-122.7999,38.4036,113.0,2023-06-13,0.00,53.7,69.5
83,-122.7999,38.4036,113.0,2023-06-14,0.00,52.1,67.5
83,-122.7999,38.4036,113.0,2023-06-15,0.00,49.8,69.7
83,-122.7999,38.4036,113.0,2023-06-16,0.00,51.4,69.8
83,-122.7999,38.4036,113.0,2023-06-17,0.00,53.9,69.4
83,-122.7999,38.4036,113.0,2023-06-18,0.00,50.5,69.6
83,-122.7999,38.4036,113.0,2023-06-19,0.00,49.0,79.6
83,-122.7999,38.4036,113.0,2023-06-20,0.00,43.1,72.0
83,-122.7999,38.4036,113.0,2023-06-21,0.00,41.2,73.4
83,-122.7999,38.4036,113.0,2023-06-22,0.00,43.0,75.9
83,-122.7999,38.4036,113.0,2023-06-23,0.00,51.9,64.9
83,-122.7999,38.4036,113.0,2023-06-24,0.00,52.0,68.6
83,-122.7999,38.4036,113.0,2023-06-25,0.00,51.3,68.9
83,-122.7999,38.4036,113.0,2023-06-26,0.00,51.8,66.6
83,-122.7999,38.4036,113.0,2023-06-27,0.00,50.7,72.7
83,-122.7999,38.4036,113.0,2023-06-28,0.00,51.2,75.1
83,-122.7999,38.4036,113.0,2023-06-29,0.00,51.2,73.8
83,-122.7999,38.4036,113.0,2023-06-30,0.00,48.5,79.4
83,-122.7999,38.4036,113.0,2023-07-01,0.00,48.5,85.8
83,-122.7999,38.4036,113.0,2023-07-02,0.00,48.5,95.4
83,-122.7999,38.4036,113.0,2023-07-03,0.00,50.5,88.9
83,-122.7999,38.4036,113.0,2023-07-04,0.00,52.3,71.1
83,-122.7999,38.4036,113.0,2023-07-05,0.00,52.0,68.7
83,-122.7999,38.4036,113.0,2023-07-06,0.00,52.6,66.2
83,-122.7999,38.4036,113.0,2023-07-07,0.00,52.6,68.6
83,-122.7999,38.4036,113.0,2023-07-08,0.00,45.5,74.8
83,-122.7999,38.4036,113.0,2023-07-09,0.00,44.1,75.1
83,-122.7999,38.4036,113.0,2023-07-10,0.00,43.7,71.4
83,-122.7999,38.4036,113.0,2023-07-11,0.00,46.6,78.4
83,-122.7999,38.4036,113.0,2023-07-12,0.00,46.2,83.6
83,-122.7999,38.4036,113.0,2023-07-13,0.00,48.7,78.4
83,-122.7999,38.4036,113.0,2023-07-14,0.00,48.3,84.9
83,-122.7999,38.4036,113.0,2023-07-15,0.00,51.1,85.4
83,-122.7999,38.4036,113.0,2023-07-16,0.00,52.4,89.8
83,-122.7999,38.4036,113.0,2023-07-17,0.00,52.7,94.3
83,-122.7999,38.4036,113.0,2023-07-18,0.00,50.2,88.7
83,-122.7999,38.4036,113.0,2023-07-19,0.00,49.5,76.4
83,-122.7999,38.4036,113.0,2023-07-20,0.00,50.2,78.4
83,-122.7999,38.4036,113.0,2023-07-21,0.00,49.7,86.8
83,-122.7999,38.4036,113.0,2023-07-22,0.00,49.2,90.7
83,-122.7999,38.4036,113.0,2023-07-23,0.00,48.6,93.8
83,-122.7999,38.4036,113.0,2023-07-24,0.00,49.4,85.5
83,-122.7999,38.4036,113.0,2023-07-25,0.00,50.2,81.9
83,-122.7999,38.4036,113.0,2023-07-26,0.00,49.6,88.6
83,-122.7999,38.4036,113.0,2023-07-27,0.00,52.1,79.9
83,-122.7999,38.4036,113.0,2023-07-28,0.00,50.5,78.1
83,-122.7999,38.4036,113.0,2023-07-29,0.00,50.4,82.0
83,-122.7999,38.4036,113.0,2023-07-30,0.00,49.4,81.5
83,-122.7999,38.4036,113.0,2023-07-31,0.00,46.4,83.1
83,-122.7999,38.4036,113.0,2023-08-01,0.00,46.7,82.8
83,-122.7999,38.4036,113.0,2023-08-02,0.00,48.0,74.2
83,-122.7999,38.4036,113.0,2023-08-03,0.00,51.9,75.0
83,-122.7999,38.4036,113.0,2023-08-04,0.00,50.6,75.0
83,-122.7999,38.4036,113.0,2023-08-05,0.00,51.4,80.9
83,-122.7999,38.4036,113.0,2023-08-06,0.00,51.3,84.2
83,-122.7999,38.4036,113.0,2023-08-07,0.00,52.1,93.5
83,-122.7999,38.4036,113.0,2023-08-08,0.00,53.4,91.1
83,-122.7999,38.4036,113.0,2023-08-09,0.00,55.3,74.4
83,-122.7999,38.4036,113.0,2023-08-10,0.00,55.0,74.2
83,-122.7999,38.4036,113.0,2023-08-11,0.00,56.2,78.0
83,-122.7999,38.4036,113.0,2023-08-12,0.00,56.5,78.4
83,-122.7999,38.4036,113.0,2023-08-13,0.00,54.6,81.3
83,-122.7999,38.4036,113.0,2023-08-14,0.00,55.4,84.9
83,-122.7999,38.4036,113.0,2023-08-15,0.00,56.2,83.2
83,-122.7999,38.4036,113.0,2023-08-16,0.00,55.6,85.1
83,-122.7999,38.4036,113.0,2023-08-17,0.00,55.3,83.6
83,-122.7999,38.4036,113.0,2023-08-18,0.00,59.0,77.1
83,-122.7999,38.4036,113.0,2023-08-19,0.00,59.2,74.7
83,-122.7999,38.4036,113.0,2023-08-20,0.00,58.4,75.2
83,-122.7999,38.4036,113.0,2023-08-21,0.00,58.4,84.4
83,-122.7999,38.4036,113.0,2023-08-22,0.00,59.8,74.2
83,-122.7999,38.4036,113.0,2023-08-23,0.00,55.7,79.0
83,-122.7999,38.4036,113.0,2023-08-24,0.00,54.8,91.2
83,-122.7999,38.4036,113.0,2023-08-25,0.00,57.1,78.6
83,-122.7999,38.4036,113.0,2023-08-26,0.00,54.0,75.1
83,-122.7999,38.4036,113.0,2023-08-27,0.00,52.0,76.3

103,-122.8139,38.5268,130.0,2023-05-08,0.12,40.7,63.3
103,-122.8139,38.5268,130.0,2023-05-09,0.03,45.6,65.0
103,-122.8139,38.5268,130.0,2023-05-10,0.00,43.2,69.5
103,-122.8139,38.5268,130.0,2023-05-11,0.00,41.8,67.4
103,-122.8139,38.5268,130.0,2023-05-12,0.00,43.3,71.4
103,-122.8139,38.5268,130.0,2023-05-13,0.00,44.4,77.1
103,-122.8139,38.5268,130.0,2023-05-14,0.00,46.9,87.1
103,-122.8139,38.5268,130.0,2023-05-15,0.00,48.9,70.0
103,-122.8139,38.5268,130.0,2023-05-16,0.00,51.8,73.8
103,-122.8139,38.5268,130.0,2023-05-17,0.00,50.7,83.5
103,-122.8139,38.5268,130.0,2023-05-18,0.00,49.9,76.8
103,-122.8139,38.5268,130.0,2023-05-19,0.00,47.6,75.0
103,-122.8139,38.5268,130.0,2023-05-20,0.00,48.3,73.6
103,-122.8139,38.5268,130.0,2023-05-21,0.00,51.3,69.4
103,-122.8139,38.5268,130.0,2023-05-22,0.00,47.7,79.1
103,-122.8139,38.5268,130.0,2023-05-23,0.00,47.4,80.3
103,-122.8139,38.5268,130.0,2023-05-24,0.00,47.1,71.5
103,-122.8139,38.5268,130.0,2023-05-25,0.00,50.3,68.3
103,-122.8139,38.5268,130.0,2023-05-26,0.00,51.1,63.6
103,-122.8139,38.5268,130.0,2023-05-27,0.00,51.1,62.8
103,-122.8139,38.5268,130.0,2023-05-28,0.00,51.1,66.3
103,-122.8139,38.5268,130.0,2023-05-29,0.00,51.5,69.4
103,-122.8139,38.5268,130.0,2023-05-30,0.00,51.9,60.9
103,-122.8139,38.5268,130.0,2023-05-31,0.00,51.0,64.9
103,-122.8139,38.5268,130.0,2023-06-01,0.00,44.1,71.9
103,-122.8139,38.5268,130.0,2023-06-02,0.00,43.3,74.9
103,-122.8139,38.5268,130.0,2023-06-03,0.00,43.5,78.5
103,-122.8139,38.5268,130.0,2023-06-04,0.00,45.7,82.4
103,-122.8139,38.5268,130.0,2023-06-05,0.00,47.1,82.1
103,-122.8139,38.5268,130.0,2023-06-06,0.01,50.4,65.6
103,-122.8139,38.5268,130.0,2023-06-07,0.02,54.2,63.9
103,-122.8139,38.5268,130.0,2023-06-08,0.00,56.0,62.5
103,-122.8139,38.5268,130.0,2023-06-09,0.00,53.5,70.6
103,-122.8139,38.5268,130.0,2023-06-10,0.00,52.4,68.7
103,-122.8139,38.5268,130.0,2023-06-11,0.00,52.3,71.5
103,-122.8139,38.5268,130.0,2023-06-12,0.01,52.8,68.9
103,-122.8139,38.5268,130.0,2023-06-13,0.00,53.5,69.7
103,-122.8139,38.5268,130.0,2023-06-14,0.00,52.5,69.2
103,-122.8139,38.5268,130.0,2023-06-15,0.00,51.5,72.7
103,-122.8139,38.5268,130.0,2023-06-16,0.00,52.6,73.0
103,-122.8139,38.5268,130.0,2023-06-17,0.00,53.8,71.8
103,-122.8139,38.5268,130.0,2023-06-18,0.00,51.0,72.1
103,-122.8139,38.5268,130.0,2023-06-19,0.00,50.1,83.3
103,-122.8139,38.5268,130.0,2023-06-20,0.00,46.3,72.8
103,-122.8139,38.5268,130.0,2023-06-21,0.00,44.0,75.1
103,-122.8139,38.5268,130.0,2023-06-22,0.00,45.0,78.4
103,-122.8139,38.5268,130.0,2023-06-23,0.00,52.0,66.2
103,-122.8139,38.5268,130.0,2023-06-24,0.00,53.0,70.5
103,-122.8139,38.5268,130.0,2023-06-25,0.00,52.4,71.1
103,-122.8139,38.5268,130.0,2023-06-26,0.00,52.5,70.0
103,-122.8139,38.5268,130.0,2023-06-27,0.00,50.7,75.8
103,-122.8139,38.5268,130.0,2023-06-28,0.00,52.0,78.1
103,-122.8139,38.5268,130.0,2023-06-29,0.00,52.0,77.6
103,-122.8139,38.5268,130.0,2023-06-30,0.00,50.4,84.2
103,-122.8139,38.5268,130.0,2023-07-01,0.00,50.0,91.0
103,-122.8139,38.5268,130.0,2023-07-02,0.00,49.9,99.8
103,-122.8139,38.5268,130.0,2023-07-03,0.00,52.8,95.3
103,-122.8139,38.5268,130.0,2023-07-04,0.00,52.8,75.6
103,-122.8139,38.5268,130.0,2023-07-05,0.00,52.4,72.9
103,-122.8139,38.5268,130.0,2023-07-06,0.00,53.1,69.0
103,-122.8139,38.5268,130.0,2023-07-07,0.00,53.0,72.3
103,-122.8139,38.5268,130.0,2023-07-08,0.00,48.4,78.7
103,-122.8139,38.5268,130.0,2023-07-09,0.00,45.6,78.8
103,-122.8139,38.5268,130.0,2023-07-10,0.00,44.7,74.9
103,-122.8139,38.5268,130.0,2023-07-11,0.00,48.2,82.1
103,-122.8139,38.5268,130.0,2023-07-12,0.00,48.0,88.1
103,-122.8139,38.5268,130.0,2023-07-13,0.00,49.9,82.8
103,-122.8139,38.5268,130.0,2023-07-14,0.00,49.9,89.2
103,-122.8139,38.5268,130.0,2023-07-15,0.00,52.3,90.0
103,-122.8139,38.5268,130.0,2023-07-16,0.00,53.6,94.1
103,-122.8139,38.5268,130.0,2023-07-17,0.00,55.7,98.0
103,-122.8139,38.5268,130.0,2023-07-18,0.00,51.6,91.6
103,-122.8139,38.5268,130.0,2023-07-19,0.00,51.3,79.8
103,-122.8139,38.5268,130.0,2023-07-20,0.00,50.8,82.0
103,-122.8139,38.5268,130.0,2023-07-21,0.00,50.4,91.5
103,-122.8139,38.5268,130.0,2023-07-22,0.00,50.2,95.7
103,-122.8139,38.5268,130.0,2023-07-23,0.00,51.4,97.0
103,-122.8139,38.5268,130.0,2023-07-24,0.00,50.1,90.3
103,-122.8139,38.5268,130.0,2023-07-25,0.00,49.5,86.0
103,-122.8139,38.5268,130.0,2023-07-26,0.00,51.1,92.0
103,-122.8139,38.5268,130.0,2023-07-27,0.00,52.8,84.0
103,-122.8139,38.5268,130.0,2023-07-28,0.00,49.5,82.1
103,-122.8139,38.5268,130.0,2023-07-29,0.00,49.8,85.5
103,-122.8139,38.5268,130.0,2023-07-30,0.00,48.2,85.6
103,-122.8139,38.5268,130.0,2023-07-31,0.00,46.6,87.2
103,-122.8139,38.5268,130.0,2023-08-01,0.00,48.8,83.7
103,-122.8139,38.5268,130.0,2023-08-02,0.00,51.3,78.3
103,-122.8139,38.5268,130.0,2023-08-03,0.00,51.8,79.1
103,-122.8139,38.5268,130.0,2023-08-04,0.00,51.3,80.0
103,-122.8139,38.5268,130.0,2023-08-05,0.00,52.6,86.0
103,-122.8139,38.5268,130.0,2023-08-06,0.00,53.4,89.0
103,-122.8139,38.5268,130.0,2023-08-07,0.00,54.3,97.4
103,-122.8139,38.5268,130.0,2023-08-08,0.00,54.2,94.0
103,-122.8139,38.5268,130.0,2023-08-09,0.00,55.2,77.7
103,-122.8139,38.5268,130.0,2023-08-10,0.00,55.2,78.8
103,-122.8139,38.5268,130.0,2023-08-11,0.00,56.8,81.7
103,-122.8139,38.5268,130.0,2023-08-12,0.00,56.3,82.6
103,-122.8139,38.5268,130.0,2023-08-13,0.00,55.6,86.7
103,-122.8139,38.5268,130.0,2023-08-14,0.00,56.4,88.8
103,-122.8139,38.5268,130.0,2023-08-15,0.00,57.7,87.2
103,-122.8139,38.5268,130.0,2023-08-16,0.00,56.2,89.4
103,-122.8139,38.5268,130.0,2023-08-17,0.00,56.7,86.4
103,-122.8139,38.5268,130.0,2023-08-18,0.00,59.3,80.2
103,-122.8139,38.5268,130.0,2023-08-19,0.00,59.2,76.6
103,-122.8139,38.5268,130.0,2023-08-20,0.00,58.5,80.4
103,-122.8139,38.5268,130.0,2023-08-21,0.00,59.4,83.3
103,-122.8139,38.5268,130.0,2023-08-22,0.00,60.7,76.5
103,-122.8139,38.5268,130.0,2023-08-23,0.00,56.7,81.8
103,-122.8139,38.5268,130.0,2023-08-24,0.00,56.6,92.9
103,-122.8139,38.5268,130.0,2023-08-25,0.00,58.4,81.6
103,-122.8139,38.5268,130.0,2023-08-26,0.00,55.4,78.8
103,-122.8139,38.5268,130.0,2023-08-27,0.00,54.0,80.4

