"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_2"
"A012877","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919A","Migrated from old WRIMS data",1,12,NA,NA,1,12,NA,NA
"A012919B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A012919B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A012919B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A012919B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A012919B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A012931","Migrated from old WRIMS data",8,9,NA,NA,NA,NA,NA,NA
"A012951","Migrated from old WRIMS data",NA,NA,NA,NA,3,7,NA,NA
"A012951","Migrated from old WRIMS data",NA,NA,NA,NA,3,7,NA,NA
"A012958","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013030A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013030B","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013062","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013076","Migrated from old WRIMS data",5,8,NA,NA,NA,NA,NA,NA
"A013097","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013098","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013105","Requested when filed",6,8,NA,NA,NA,NA,NA,NA
"A013126A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013126A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013126A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013126B","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013135","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013151","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013161","Migrated from old WRIMS data",6,8,NA,NA,6,7,NA,NA
"A013161","Migrated from old WRIMS data",6,8,NA,NA,6,7,NA,NA
"A013163","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A013163","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013182A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013182A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013182A02","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013182A02","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013182B","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013182B","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013217","Requested when filed",1,12,NA,NA,NA,NA,NA,NA
"A013221","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A013221","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A013256","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013261","Migrated from old WRIMS data",5,12,NA,NA,NA,NA,NA,NA
"A013267","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013268","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013268","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013269","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013270","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A013277","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013281A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281A01","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281A02","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281A02","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281A03","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281A03","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013281B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013287","Migrated from old WRIMS data",3,10,NA,NA,NA,NA,NA,NA
"A013287","Migrated from old WRIMS data",3,10,NA,NA,NA,NA,NA,NA
"A013288","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A013289","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013301","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013317","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013330","Migrated from old WRIMS data",4,6,NA,NA,NA,NA,NA,NA
"A013331","Requested when filed",5,11,NA,NA,NA,NA,NA,NA
"A013359","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A013359","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A013376","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013384","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013384","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013384","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013384","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013391","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013393","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A013406","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013453","Migrated from old WRIMS data",5,12,NA,NA,NA,NA,NA,NA
"A013468","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A013474","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A013507","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013527","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013527","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013528","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013529","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013533","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013539","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013557","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013557","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A013578","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013578","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013579","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A013586","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013586","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013633","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A013639","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A013661","Requested when filed",5,11,NA,NA,NA,NA,NA,NA
"A013684A","Requested when filed",5,12,NA,NA,NA,NA,NA,NA
"A013684A","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A013684A","Requested when filed",5,12,NA,NA,NA,NA,NA,NA
"A013684A","Requested when filed",5,12,NA,NA,NA,NA,NA,NA
"A013684B","Migrated from old WRIMS data",5,12,NA,NA,NA,NA,NA,NA
"A013695","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013695","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013706","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013716","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A013729","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013749","Requested when filed",5,11,NA,NA,NA,NA,NA,NA
"A013753","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013755","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A013758","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013789","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013810","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A013811","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013831","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013831","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013831","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013832","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013862","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013863","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013864","Migrated from old WRIMS data",1,12,NA,NA,11,3,NA,NA
"A013874","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A013874","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A013890","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013914","Migrated from old WRIMS data",5,8,10,12,NA,NA,NA,NA
"A013932","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013933","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A013958","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A013958","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A013958","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A013967","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A013967","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A013967","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A013973","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013974","Migrated from old WRIMS data",9,11,NA,NA,NA,NA,NA,NA
"A013975","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A013975","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A013984","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013985","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013987","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A013988","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A013989","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014010","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014010","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014010","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014010","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014030","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A014033","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A014034","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014043","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014044A","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014044B","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014045","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014047","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014048","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014049","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014050A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014050A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014050B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A014050B","Added by change order",NA,NA,NA,NA,NA,NA,NA,NA
"A014051","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014051","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014054","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014055","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014056","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014061","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014064","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014065","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014066","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014066","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014067","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014068","Requested when filed",4,11,NA,NA,NA,NA,NA,NA
"A014092","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A014107","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A014107","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A014119","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A014119","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A014119","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A014136","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014144","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014160","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A014172","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014178","Requested when filed",6,11,NA,NA,NA,NA,NA,NA
"A014178","Requested when filed",6,11,NA,NA,NA,NA,NA,NA
"A014178","Requested when filed",6,11,NA,NA,NA,NA,NA,NA
"A014206","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A014208","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A014215","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014245","Migrated from old WRIMS data",5,12,NA,NA,NA,NA,NA,NA
"A014246","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014259A","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A014304","Added by correction order",5,9,NA,NA,NA,NA,NA,NA
"A014333","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014339","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014364","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A014379","Migrated from old WRIMS data",2,12,NA,NA,NA,NA,NA,NA
"A014393","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014459","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014466","Migrated from old WRIMS data",NA,NA,NA,NA,10,2,NA,NA
"A014466","Migrated from old WRIMS data",NA,NA,NA,NA,10,2,NA,NA
"A014467","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014467","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014492","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014513","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A014513","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A014539","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014543","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014604","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014624","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A014715","Migrated from old WRIMS data",3,12,NA,NA,10,5,NA,NA
"A014720","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014735","Requested when filed",NA,NA,NA,NA,11,5,NA,NA
"A014735","Requested when filed",NA,NA,NA,NA,11,5,NA,NA
"A014747","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014749","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A014749","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A014750","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A014762","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A014767","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A014777","Migrated from old WRIMS data",6,9,NA,NA,NA,NA,NA,NA
"A014797","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A014826","Migrated from old WRIMS data",5,10,NA,NA,5,6,NA,NA
"A014841","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A014841","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A014842","Added by change order",NA,NA,NA,NA,11,4,NA,NA
"A014842","Added by change order",NA,NA,NA,NA,11,4,NA,NA
"A014842","Added by change order",NA,NA,NA,NA,11,4,NA,NA
"A014842","Added by change order",NA,NA,NA,NA,11,4,NA,NA
"A014855","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A014856","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014870","Migrated from old WRIMS data",NA,NA,NA,NA,12,3,NA,NA
"A014872","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014872","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014872","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A014875","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A014875","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A014880","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A014880","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A014904","Migrated from old WRIMS data",3,9,NA,NA,NA,NA,NA,NA
"A014916A","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014916B","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014925","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014925","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A014942","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A014966","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A014997A","Requested when filed",5,11,NA,NA,NA,NA,NA,NA
"A014997B","Requested when filed",5,11,NA,NA,NA,NA,NA,NA
"A015075","Migrated from old WRIMS data",4,7,NA,NA,NA,NA,NA,NA
"A015075","Migrated from old WRIMS data",4,7,NA,NA,NA,NA,NA,NA
"A015120","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015120","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015157","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015158A","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015158B","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A015168","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A015187","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015194","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015194","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015194","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015233","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015237","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A015277","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A015299","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015299","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015314","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015314","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015314","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015314","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015329A","Migrated from old WRIMS data",3,11,NA,NA,NA,NA,NA,NA
"A015329B","Migrated from old WRIMS data",3,11,NA,NA,NA,NA,NA,NA
"A015348","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A015370","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015397","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A015399","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
